"guid","label"
"urn:uuid:66a62ee2-d3be-4370-a42b-6d488b5c9b84","Information Element ActedUpon bdq:VALIDATION_DECIMALLATITUDE_NOTEMPTY.Response"
"urn:uuid:05d4f647-0387-4e37-883f-810840711e6d","Information Element ActedUpon bdq:VALIDATION_SCIENTIFICNAMEID_NOTEMPTY.Response"
"urn:uuid:de43b1ab-4e58-4510-97cf-c4c84e04c9bd","Information Element ActedUpon bdq:VALIDATION_GENUS_FOUND.Response"
"urn:uuid:264375b3-9ecd-4a3e-bad2-e74fbab0dcf4","Information Element ActedUpon bdq:VALIDATION_CLASSIFICATION_CONSISTENT.Response"
"urn:uuid:3acc77f6-1bbc-46b7-9aee-f75af5537d2a","Information Element ActedUpon bdq:VALIDATION_DAY_INRANGE.Response"
"urn:uuid:5a033f48-4b60-4241-b5c3-4a7cb8de33f2","Information Element ActedUpon bdq:VALIDATION_MONTH_STANDARD.Response"
"urn:uuid:528771e2-c865-45d4-8fcb-765e502be2b8","Information Element ActedUpon bdq:VALIDATION_STARTDAYOFYEAR_INRANGE.Response"
"urn:uuid:dda8a095-0878-4b93-8a55-9b95f1700dae","Information Element ActedUpon bdq:VALIDATION_ENDDAYOFYEAR_INRANGE.Response"
"urn:uuid:9a0e0a79-fe93-4270-943f-30662eb60e72","Information Element ActedUpon bdq:VALIDATION_DAY_STANDARD.Response"
"urn:uuid:2e560d7e-864c-4d72-9cac-0bafbe1bbeea","Information Element ActedUpon bdq:VALIDATION_TAXONRANK_NOTEMPTY.Response"
"urn:uuid:90508628-7333-4e71-b191-d1a0e0d431e6","Information Element ActedUpon bdq:VALIDATION_TAXONRANK_STANDARD.Response"
"urn:uuid:3a4ce2f7-01a4-4a60-8dd3-2be0ac41cdf0","Information Element ActedUpon bdq:VALIDATION_MAXDEPTH_INRANGE.Response"
"urn:uuid:03715043-0512-48a0-a1ac-45e6e2043a44","Information Element ActedUpon bdq:VALIDATION_STATEPROVINCE_FOUND.Response"
"urn:uuid:fd67021a-c835-495c-a45c-832da0d37c2f","Information Element ActedUpon bdq:VALIDATION_COUNTRYSTATEPROVINCE_UNAMBIGUOUS.Response"
"urn:uuid:951358d6-b8f5-42e0-a089-42bb2ecfa79b","Information Element ActedUpon bdq:VALIDATION_SCIENTIFICNAMEID_COMPLETE.Response"
"urn:uuid:8a63ca58-36c5-45d8-9d4c-7f0fd476d87c","Information Element ActedUpon bdq:VALIDATION_KINGDOM_NOTEMPTY.Response"
"urn:uuid:2c7b6527-0918-401b-b679-cf3f0819ce9e","Information Element ActedUpon bdq:VALIDATION_SCIENTIFICNAMEAUTHORSHIP_NOTEMPTY.Response"
"urn:uuid:59de7103-5a68-4fa2-8d9a-fe89256b4cab","Information Element ActedUpon bdq:VALIDATION_NAMEPUBLISHEDINYEAR_NOTEMPTY.Response"
"urn:uuid:4d7d3e60-8242-48be-ab51-cfd40fe3b8e9","Information Element ActedUpon bdq:VALIDATION_ESTABLISHMENTMEANS_STANDARD.Response"
"urn:uuid:3ea77d56-e4b4-45b2-88d7-c6ab7c1d0f36","Information Element ActedUpon bdq:VALIDATION_DEGREEOFESTABLISHMENT_STANDARD.Response"
